IMAGE_SCHEMA_ANNOTATION,LinguisticExamples,Language
CONTAINMENT,…an der Schwelle des 21. Jahrhunderts…,de
CONTAINMENT,…binnen kurzer Zeit…,de
CONTAINMENT,…im unfehlbaren Gestern zu Hause…,de
CONTAINMENT,Innerhalb dieses Jahres…,de
CONTAINMENT,…bis in den nächsten Herbst hinein.,de
CONTAINMENT,"Situationen, in denen…",de
CONTAINMENT,Der Mann…befindet sich in der Krise.,de
CONTAINMENT,…aus der Krise führen…,de
CONTAINMENT,…in bescheidenen Lebensverhältnissen…,de
CONTAINMENT,…in absoluter Armut leben…,de
CONTAINMENT,…im Wohlstand…,de
CONTAINMENT,…Zurückfallen aus einem Ausnahme- in einen Normalzustand?,de
CONTAINMENT,…in angstauslösende Situationen schicken…,de
CONTAINMENT,…eine Flucht aus der Therapiesituation,de
CONTAINMENT,1992 verfallen die USA wieder einmal in jenen Zustand politischer Unberechenbarkeit…,de
CONTAINMENT,…Ausweg aus der festgefahrenen Situation…,de
CONTAINMENT,…fanden sich in der Arbeitslosigkeit wieder…,de
CONTAINMENT,Freunde wird die SPD im Volk damit nicht gewinnen.,de
CONTAINMENT,…geschlossene Gruppen…,de
CONTAINMENT,…einiger versponnener Außenseiter.,de
CONTAINMENT,Elite aus Begabten aller Sparten,de
CONTAINMENT,…ein Ausgestoßener…,de
CONTAINMENT,…die gewichtige Financial Times eingeschlossen…,de
CONTAINMENT,…innerhalb und außerhalb der Partei…,de
CONTAINMENT,…in der Bevölkerung…,de
CONTAINMENT,Er hat sich in Kreise hineingefunden…,de
CONTAINMENT,…innerhalb der eigenen Gesellschaft.,de
CONTAINMENT,…in die beste Gesellschaft eingeführt…,de
CONTAINMENT,Our circle of friends is quite diverse.,en
CONTAINMENT,He's hasn't penetrated that group.,en
CONTAINMENT,In der Politik…,de
CONTAINMENT,…in Forschung und Entwicklung…,de
CONTAINMENT,…Begriffe aus Militär und Sport…,de
CONTAINMENT,…in der Literatur…,de
CONTAINMENT,…in diesen Bereichen…,de
CONTAINMENT,…in der Wirtschaft.,de
CONTAINMENT,…im ganzen Universitätsbereich…,de
CONTAINMENT,…in Publizistik und Wissenschaft…,de
CONTAINMENT,…die Betriebswirte zieht es ins produzierende Gewerbe…,de
CONTAINMENT,Die Lage im westdeutschen Maschinenbau…,de
CONTAINMENT,…seine Märkte für US-Zigaretten zu öffnen…,de
CONTAINMENT,…dem Süden den Zugang zu seinen Märkten erleichtern.,de
CONTAINMENT,…Treuhandfirmen würden…in westliche Märkte eindringen…,de
CONTAINMENT,…den freien Zugang zu den Märkten der geförderten Staaten.,de
CONTAINMENT,…richtete im gemeinsamen Markt ein Chaos an.,de
CONTAINMENT,…wieviel an Kapazität aus dem Markt genommen warden soll.,de
CONTAINMENT,…Produktionspotential aus dem Markt nehmen.,de
CONTAINMENT,die Bauern müssten hinein in den Agrarmarkt…,de
CONTAINMENT,…die Öffnung der Märkte…,de
CONTAINMENT,Mann muß ja für Einnahmen sorgen.,de
CONTAINMENT,Einsparungen bei den Ausgaben …,de
CONTAINMENT,In einer ersten Stufe sollen rund 220 Millionen Dollar … in das Gemeinschaftsunternehmen … gesteckt werden …,de
CONTAINMENT,"I’ve sunk all my money into this business, so it had better succeed.",en
CONTAINMENT,The proposal borders on the absurd.,en
CONTAINMENT,The limit must be drawn somewhere.,en
CONTAINMENT,They overstepped their authority.,en
CONTAINMENT,This goes beyond all bounds.,en
CONTAINMENT,You should keep within reasonable limits.,en
CONTAINMENT,He seems to have limited intelligence.,en
CONTAINMENT,They hedged her in to protect her.,en
CONTAINMENT,They were walled in by taboos.,en
CONTAINMENT,in die Natur dieser wirklichen Welt hineinschauen und sie gleichsam auseinanderschneiden/zerfleischen,de
CONTAINMENT,um aber in das Innere und Entlegenere der Natur einzudringen,de
CONTAINMENT,"dass noch im Schoß der Natur viele ausgezeichnete Sachen verborgen sind, die jedoch bisher nicht entdeckt worden sind",de
CONTAINMENT,"wie viel mehr Mühe muß dann bei dem aufgewandt werden, das aus den Eingeweiden der Natur herausgezogen werden soll?",de
CONTAINMENT,His actions are beyond my control.,en
CONTAINMENT,The whole situation spiraled out of (our) control.,en
CONTAINMENT,He returned to power.,en
CONTAINMENT,The president is in control of the executive branch.,en
CONTAINMENT,President Mubarak has stepped down from power.,en
CONTAINMENT,The restrictive regulations are holding back innovation.,en
CONTAINMENT,Any greater government regulation will only handcuff the industry and reduce the significant benefits hedge funds offer to the markets.,en
CONTAINMENT,This group contains twenty members.,en
CONTAINMENT,There are twenty members in this group.,en
CONTAINMENT,Our circle of friends is quite diverse.,en
CONTAINMENT,He's hasn't penetrated that group.,en
CONTAINMENT,Our nation contains some of the best entrepreneurs in the world.,en
CONTAINMENT,The western world is drowning in an ocean of debt unlike anything the world has ever seen before,en
CONTAINMENT,"Law enforcement officers have often described these arrests as a way of reining in criminals whose other, more serious activities present a danger to the public. ",en
CONTAINMENT,she held out her mind like a saucepan,en
CONTAINMENT,He has a pain in his shoulder.,en
CONTAINMENT,Don’t give me the flu.,en
CONTAINMENT,My cold has gone from my head to my chest.,en
CONTAINMENT,His pains went away.,en
CONTAINMENT,His depression returned.,en
CONTAINMENT,Hot tea and honey will get rid of your cough.,en
CONTAINMENT,He could barely contain his joy.,en
CONTAINMENT,The smile left his face.,en
CONTAINMENT,"Wipe that sneer off your face, private!",en
CONTAINMENT,His fears keep coming back.,en
CONTAINMENT,I’ve got to shake off this depresseion – it keeps hanging on.,en
CONTAINMENT,"If you’ve got a cold, drinking lots of tea will flush it out of your system.",en
CONTAINMENT,There isn’t a trace of cowardice in him.,en
CONTAINMENT,He hasn’t got an honest bone in his body.,en
CONTAINMENT,She is boiling with anger.,en
CONTAINMENT,boiling anger,en
CONTAINMENT,simmering anger,en
CONTAINMENT,anger boiling up inside of him,en
CONTAINMENT,anger simmering inside of her,en
CONTAINMENT,anger simmer beneath surface,en
CONTAINMENT,anger boil over (into action),en
CONTAINMENT,anger reach boiling point,en
CONTAINMENT,She boils with anger,en
CONTAINMENT,He seethes with anger,en
CONTAINMENT,He kept a lid on anger,en
CONTAINMENT,She vented her anger against him,en
CONTAINMENT,He give vent to his anger,en
CONTAINMENT,seething of anger,en
CONTAINMENT,You make my blood boil.,en
CONTAINMENT,I had reached the boiling point.,en
CONTAINMENT,a lunatic courage welling within him,en
CONTAINMENT,she was filled with anger,en
CONTAINMENT,he was full of anger,en
CONTAINMENT,he contained his anger,en
CONTAINMENT,held-in anger,en
CONTAINMENT,pent-up anger,en
CONTAINMENT,She was unable to contain her anger.,en
CONTAINMENT,Build up of anger,en
CONTAINMENT,anger build up inside of them,en
CONTAINMENT,pentup anger,en
CONTAINMENT,explosive anger,en
CONTAINMENT,volcanic anger,en
CONTAINMENT,outlet for anger,en
CONTAINMENT,burst of anger,en
CONTAINMENT,explosion of anger,en
CONTAINMENT,outburst of anger,en
CONTAINMENT,anger have volcanic eruptions,en
CONTAINMENT,anger blows up into action,en
CONTAINMENT,anger burst out into action,en
CONTAINMENT,anger erupts into action,en
CONTAINMENT,anger explode into action,en
CONTAINMENT,They erupt with anger,en
CONTAINMENT,She bursts out with anger,en
CONTAINMENT,The sight filled her with fear.,en
CONTAINMENT,fear permeate them,en
CONTAINMENT,fear well up inside,en
CONTAINMENT,Sara’s heart becomes filled with fear,en
CONTAINMENT,John is full of fear,en
CONTAINMENT,Mary contains fear,en
CONTAINMENT,This truly fills them with fear.,en
CONTAINMENT,This situation really puts fear in them.,en
CONTAINMENT,fear filled him,en
CONTAINMENT,fear pour out,en
CONTAINMENT,pent up fear,en
CONTAINMENT,He was overflowing with joy,en
CONTAINMENT,heart swell with joy,en
CONTAINMENT,It swelled his heart with joy,en
CONTAINMENT,Joy pour into heart,en
CONTAINMENT,She brims over with joy,en
CONTAINMENT,joy seeps from her,en
CONTAINMENT,overflowing joy,en
CONTAINMENT,inner joy,en
CONTAINMENT,He is filled with joy.,en
CONTAINMENT,It contains joy,en
CONTAINMENT,He filled her heart with joy,en
CONTAINMENT,He left her empty of joy,en
CONTAINMENT,Anna’s heart filled with joy,en
CONTAINMENT,explosion of joy,en
CONTAINMENT,Tom explodedt with joy,en
CONTAINMENT,joy burst in their heart,en
CONTAINMENT,joy burst through him,en
CONTAINMENT,She erupt in joy,en
CONTAINMENT,He's bursting with excitement.,en
CONTAINMENT,That joke is side-splittingly funny.,en
CONTAINMENT,I am filled with sorrow.,en
CONTAINMENT,It included sadness,en
CONTAINMENT,sadness filled his heart,en
CONTAINMENT,Her eye filled with sadness,en
CONTAINMENT,Her (heart/voice) was full of sadness,en
CONTAINMENT,filled up with sadness,en
CONTAINMENT,be filled with sadness,en
CONTAINMENT,contain/hold sadness,en
CONTAINMENT,She filled him with sadness,en
CONTAINMENT,burst of sadness,en
CONTAINMENT,He filled her with disgust,en
CONTAINMENT,disgust filled them,en
CONTAINMENT,They were full of disgust,en
CONTAINMENT,His eyes were filled with disgust,en
CONTAINMENT,outlet for disgust,en
CONTAINMENT,disgust build up among them,en
CONTAINMENT,He burst with disgust,en
CONTAINMENT,He doesn’t have it in him to be polite to his in-laws.,en
CONTAINMENT,He lacks internal/intestinal fortitude.,en
CONTAINMENT,He has a great capacity for learning.,en
CONTAINMENT,There is both cotton and polyester in that shirt.,en
CONTAINMENT,This drink is loaded with vitamins.,en
CONTAINMENT,Our agenda is packed with events.,en
CONTAINMENT,There are seven days in a week.,en
CONTAINMENT,The detective couldn't get much information out of the partial shoe print.,en
CONTAINMENT,Tree rings contain the story of the region.,en
CONTAINMENT,It was years before the fossils yielded any valuable information.,en
CONTAINMENT,spill the beans,en
CONTAINMENT,let the cat out of the bag,en
CONTAINMENT,blow the whistle,en
CONTAINMENT,blow the lid off,en
CONTAINMENT,loose lips,en
CONTAINMENT,"Just yeah, more in the movie than outside the movie.",en
CONTAINMENT,"Yes, so you’re in the moment, just in the film, I know people talk about switching off and that but it’s more than that, you just become involved in that film and what’s happening.",en
CONTAINMENT,you’re just enveloped in the film so you’re in the moment.,en
CONTAINMENT,you’re just enveloped in the film so you’re in the moment.,en
CONTAINMENT,"the deeper you get into the story the more shocking people’s responses are, . . . it’s a de- scent, it really does feel like you’re descending into something, and then when the story’s over yougetsomekindofcomeupforair....Ifeel like I’m sinking deeper into something.",en
CONTAINMENT,stir in the ingredients gradually until all of them has been used.,en
CONTAINMENT,Heat the butter gently and then blend in a little flour.,en
CONTAINMENT,Badly decayed timber should be cut out and replaced.,en
CONTAINMENT,He carefully measured out a pint of whisky.,en
CONTAINMENT,Slice the tops off the tomatoes and scoop out the seeds.,en
CONTAINMENT,He sorted out the white laundry from the colored.,en
CONTAINMENT,the new college building does not merge in with the old buildings around.,en
CONTAINMENT,Saturday and Sunday seemed to merge into each other.,en
CONTAINMENT,The teacher singled him out for particular praise.,en
CONTAINMENT,why do you cross out the last line of your letter?,en
CONTAINMENT,We must separate out facts from speculation.,en
CONTAINMENT,The skirt is too big. Please take it in.,en
CONTAINMENT,Part of the roof has caved in.,en
CONTAINMENT,Now the police were closing in.,en
CONTAINMENT,I’ll bash your silly head in.,en
CONTAINMENT,The wind bellied out the sails.,en
CONTAINMENT,The road broadened out after this bend.,en
CONTAINMENT,He stretched out in front of the fire and fell asleep.,en
CONTAINMENT,The troops fanned out as they advanced.,en
CONTAINMENT,The search party spread out over the moor.,en
CONTAINMENT,"I more or less caved in, though I still defended my explanations.",en
CONTAINMENT,He has to give in.,en
CONTAINMENT,Those are the main points I’ll be talking about. Now I’ll flesh them out for you.,en
CONTAINMENT,The wildfire of revolution rapidly spread throughout the land.,en
CONTAINMENT,Why don’t you join in and have some fun?,en
CONTAINMENT,The police were called in to investigate the robbery.,en
CONTAINMENT,The company has decided to pull out of the project.,en
CONTAINMENT,He didn’t want to look as if he was chickening out.,en
CONTAINMENT,A deal is a deal. You can’t back out now.,en
CONTAINMENT,Such behavior might result in the executive being asked to leave.,en
CONTAINMENT,He believes in individual liberty.,en
CONTAINMENT,This room will be changed into a kitchen.,en
CONTAINMENT,I talked him into accepting the job.,en
CONTAINMENT,The lamp gives out dim lights.,en
CONTAINMENT,The bells rang out.,en
CONTAINMENT,Each of the eggs hatches out into a tiny grub.,en
CONTAINMENT,I don’t go in for that sort of fishing.,en
CONTAINMENT,Frank told himself not to be taken in by superficial appearances.,en
CONTAINMENT,"I don’t like the book when I started it, but the strange story soon draw me in.",en
CONTAINMENT,I had no idea what I was going to write about when I started out.,en
CONTAINMENT,They succeeded in what they had set out to do.,en
CONTAINMENT,The woods have burnt out.,en
CONTAINMENT,I spent three days cleaning our flat out.,en
CONTAINMENT,Comprehensive schools assisted in flattening out all regional accents.,en
CONTAINMENT,Increased productivity and generous staffing could be said to cancel each other out.,en
CONTAINMENT,I thought most of the problems were ironed out.,en
CONTAINMENT,The lights went out.,en
CONTAINMENT,We turned out the lights.,en
CONTAINMENT,They put/beat out the fire.,en
CONTAINMENT,Someone opened the door and the candle blew out.,en
CONTAINMENT,The proposals were hedged in with legal niceties.,en
CONTAINMENT,You have to contract in if you want to participate in the scheme.,en
CONTAINMENT,He felt hemmed in by convention.,en
CONTAINMENT,He cannot hold in his anger.,en
CONTAINMENT,The war broke out.,en
CONTAINMENT,He burst out laughing.,en
CONTAINMENT,Thicker fabrics and darker colors came in.,en
CONTAINMENT,Labor governments come in promising to expand public expenditure.,en
CONTAINMENT,All the facts came out after Sherry’s death.,en
CONTAINMENT,His new book will come out next month.,en
CONTAINMENT,She became trapped as the tide came in.,en
CONTAINMENT,The tide has gone out.,en
CONTAINMENT,The cold weather set in.,en
CONTAINMENT,The use of the lead-free petrol is now being phased in.,en
CONTAINMENT,"After the introduction, we’ll fade in the first scene.",en
CONTAINMENT,Traditional grocer’s shops are fast dying out.,en
CONTAINMENT,The sound of the chopper has faded out.,en
CONTAINMENT,He has been hiding out in a provincial village.,en
CONTAINMENT,Mask out his voice with white noise.,en
CONTAINMENT,The noise from the plane drowned out the noise of the gun.,en
CONTAINMENT,My head thumped solidly on a rock and I passed out.,en
CONTAINMENT,The tablet knocked her out for four solid hours.,en
CONTAINMENT,"The plane dived suddenly, causing the pilot to black out.",en
CONTAINMENT,The information has been leaked out.,en
CONTAINMENT,The singer has brought out a second album.,en
CONTAINMENT,They managed to work out a solution to the problem.,en
CONTAINMENT,She was able to reason out many of the passages and their meanings.,en
CONTAINMENT,They need to interview some people and find out whether they like their jobs.,en
CONTAINMENT,"The river sliced through sediments, carving out the gorge.",en
CONTAINMENT,The first experiments were carried out by Dr. Preston.,en
CONTAINMENT,The factory turns out 5000 cars every month.,en
CONTAINMENT,The president promised to look into the matter.,en
CONTAINMENT,When he got back to Berlin he would inquire into the whole business.,en
CONTAINMENT,...trapping so many people in state dependency robs them of their human dignity.,en
CONTAINMENT,[T]he federal government's welfare assistance programs intended to help those in need instead effectively trap people into dependence,en
CONTAINMENT,We pitched them the idea and they ate it right up.,en
CONTAINMENT,He's been feeding her lies all these years.,en
CONTAINMENT,This article is hard to digest.,en
CONTAINMENT,I've been feeding him stock market tips for weeks.,en
CONTAINMENT,This SUV sure is a gas guzzler.,en
CONTAINMENT,Demand for paper goods is eating away at our planet's forests.,en
CONTAINMENT,Developing nations are gobbling up our fossil fuels at any alarming rate.,en
CONTAINMENT,The United States' insatiable appetite for electronics will entirely consume our supply of rare metals.,en
CONTAINMENT,We have not found a way to stem this rising flood of gun violence.,en
CONTAINMENT,We are drowning in an ocean of gun violence.,en
CONTAINMENT,Lost in the bureaucratic maze of city's criminal justice system,en
CONTAINMENT,We need to protect our rights from infringement.,en
CONTAINMENT,The government overstepped a line when they proposed wiretapping citizens' phone lines.,en
CONTAINMENT,Gay marriage is encroaching on our religious freedoms.,en
CONTAINMENT,These gay marriage laws have invaded our religious rights.,en
CONTAINMENT,The government needs to stay out of my bedroom.,en
CONTAINMENT,"The poor deserve a hand up, not a handout. ",en
CONTAINMENT,"The government shouldn't just give handouts, it needs to encourage people to get jobs instead. ",en
CONTAINMENT,We covered a lot of ground.,en
CONTAINMENT,He’s on our trail.,en
CONTAINMENT,He strayed off the trail.,en
CONTAINMENT,We went back over the same trail.,en
CONTAINMENT,We have already covered those points.,en
CONTAINMENT,We have covered a lot of ground in our argument.,en
CONTAINMENT,Let’s go back over the argument again.,en
CONTAINMENT,You’re getting off the subject.,en
CONTAINMENT,You’re really onto something there.,en
CONTAINMENT,We’re well on our way to solving this problem.,en
CONTAINMENT,The theory was expanded to cover more data.,en
CONTAINMENT,That theory covers a lot of territory.,en
CONTAINMENT,The theory filled in gaps left in earlier accounts.,en
CONTAINMENT,The theory fit the data closely.,en
CONTAINMENT,The theory doesn’t fit with the facts.,en
CONTAINMENT,There was a hole in theory (it fails to cover all the facts),en
CONTAINMENT,The theory is closely tied to the facts.,en
CONTAINMENT,The crisis stripped away our veneer of sophistication.,en
CONTAINMENT,We donned an appearance of nonchallance.,en
CONTAINMENT,Put on a happy face.,en
CONTAINMENT,Under cover of darkness.,en
CONTAINMENT,He was enveloped in darkness.,en
CONTAINMENT,Darkness closed in over us.,en
CONTAINMENT,It's what's on the inside that counts.,en
CONTAINMENT,She only has surface charm.,en
CONTAINMENT,"We’ve been in a close relationship for years, but it’s beginning to seem confining.",en
CONTAINMENT,to have an open marriage,en
CONTAINMENT,She's trapped in a relationship with a scumbag.,en
CONTAINMENT,They had a falling out.,en
COVERING,Government transparency enables the public to hold the government accountable for how they spend their money.,en
COVERING,Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,en
COVERING,His judgement is clouded.,en
COVERING,The US is blind to the limits of Palestinian politics.,en
COVERING,The issue was exposed to the light of day.,en
COVERING,The government covered up the high levels of radiation.,en
COVERING,Ecologists Shed New Light On Effects of Light Pollution On Wildlife,en
FORCE,Apply more force to the edge of the lid.,en
FORCE,Direct more force at the hinges.,en
FORCE,Focus force on the weak spots.,en
FORCE,It took a lot of force to open it.,en
FORCE,Use more force in driving the nail.,en
FORCE,Exert more force on the lock.,en
FORCE,Put more force behind your punches.,en
FORCE,Back up your punches with more force.,en
FORCE,Put more force into your punches.,en
FORCE,Put more force into your punches.,en
FORCE,His punches carry a lot of force.,en
FORCE,Each sentence contained the force of an order.,en
FORCE,His punches have a lot of force.,en
FORCE,His punches have a lot of force.,en
FORCE,Her death hit us with a lot of force.,en
FORCE,The force of the blow knocked me over.,en
FORCE,The force added to the swing was enough to send the ball over the fence.,en
FORCE,The trial thrust O.J.'s attorney's into the limelight.,en
FORCE,FDR's leadership brought the country out of the depression.,en
FORCE,That experience pushed him over the edge,en
FORCE,and she sat up to meet its thrusts,en
FORCE,you’re always so battered by the world outside.,en
FORCE,"as if in dread of being attacked, restless and keen",en
FORCE,and then been violently shattered with the greatest shock and pain by her fickle- ness and frivolities.,en
FORCE,"A shaft of pain cut through the nebulous pattern,/ of blows and humiliations not yet dissolved",en
FORCE,Some shock shattered you and made you distrustful of a single love.,en
FORCE,his extended love was unequal to the power of what was dragging her down,en
FORCE,about to be sucked in by a hidden cyclone.,en
FORCE,That coat pulled me into the store.,en
FORCE,The smell of the cookies dragged me against my will to the cookie jar.,en
FORCE,I was drawn to him.,en
FORCE,They are attracted to each other.,en
FORCE,"it does pull me in, it pulls me back in at certain points, and when I’m pulled in I can’t really pay as much attention to what’s happening.",en
FORCE,"It drew me in again further, fascinated.",en
FORCE,I was so wrapped up in the movie I forgot to pause on the man itself.,en
FORCE,and I get caught up in it.,en
FORCE,it’s very gripping.,en
FORCE,that captured me in a way that some movies don’t. [22] it kind of sucks you in.,en
FORCE,and that kind of further ties me in.,en
FORCE,"being really, really hooked into the story.",en
FORCE,He is unbalanced.,en
FORCE,She’s not on an even keel.,en
FORCE,They’re upset.,en
FORCE,I’m a very stable individual.,en
FORCE,She’s quite level-headed,en
FORCE,You have to weigh the pros and cons.,en
FORCE,The scale just tipped in favor of my voting yes.,en
FORCE,On the other hand. . .,en
FORCE,That's a lightweight issue.,en
FORCE,This is a substantial problem for us.,en
FORCE,"Before we draw any conclusions, we must weigh both sides of the issue. ",en
FORCE,He weighed the ideas in his mind.,en
FORCE,You have to weigh up in your mind whether to pursue the matter or not.,en
FORCE,You have to weigh the costs of the new system against the benefit it will bring.,en
FORCE,"Before we draw any conclusions, we must weigh both sides of the issue.",en
FORCE,Let’s try to get around this problem.,en
FORCE,Harry got over his divorce.,en
FORCE,She’s trying to get around the regulations.,en
FORCE,He went through the trial.,en
FORCE,We ran into a brick wall.,en
FORCE,We’ve got him boxed into a corner.,en
FORCE,We hit a roadblock.,en
FORCE,We are at an impasse.,en
FORCE,I can't find my way around that.,en
FORCE,Debt is holding me back from reaching my goals.,en
FORCE,"The way of the lazy is overgrown with thorns, but the path of the upright is a level highway.",en
FORCE,"Thorns and snares are in the way of the perverse, the cautious will keep far from them.",en
FORCE,fear barrier,en
FORCE,barrier of fear,en
FORCE,fear is an obstacle,en
FORCE,fear blocks him from achieving his goals,en
FORCE,Was auch immer den Zusammenschluß beider Bundesländer im Wege steht…,de
FORCE,Der Norden verstellt den Ausweg aus dem Treibhaus Erde…,de
FORCE,Überall legte er sich quer.,de
FORCE,Nun endlich versperrt ihm der verhaßte Fraktionsvorsitzende im Landtag nicht länger den Weg…,de
FORCE,Die Partei steht sich häufig selber im Wege.,de
FORCE,…die Wirtschaftreform über die entscheidenden Hürden zu hieven…,de
FORCE,We are stuck on this problem.,en
FORCE,I am drowning in work.,en
FORCE,I am tied up with work.,en
FORCE,He is up to his neck in work.,en
FORCE,"...allow courts to circumvent the First Amendment, slowly eroding the freedom of the press in a much more subtle manner than if they gagged the media directly. ",en
FORCE,The government should not muzzle the press.,en
FORCE,Our project has hit a roadblock.,en
FORCE,What's holding you back from pursuing your dreams?,en
FORCE,They faced some tough problems at the beginning of their marriage but got over them quickly.,en
FORCE,We have a lot of hurdles to get over in our relationship.,en
FORCE,Recently enacted policies provide cover for companies engaged in illicit activities.,en
FORCE,My life is going nowhere - I'm just spinning my wheels.,en
FORCE,Break out of your daily routine.,en
FORCE,Workers of the world throw off your chains!,en
FORCE,All these rules and regulations are obstacles to innovation.,en
FORCE,saddle the American people with gun control,en
FORCE,gun control trap,en
FORCE,Senate Republicans blocked legislation Wednesday that would have established a billion jobs program putting veterans back to work tending to the country's federal lands and bolstering local police and fire departments.,en
FORCE,This mini-controversy erupted when Republicans introduced a string of amendments in a final effort to obstruct passage of the reconciliation bill.,en
FORCE,"Though politically the country is free, its people remain chained by poverty.",en
FORCE,House Republicans blocked the Democrats' attempts to move forward with the healthcare bill.,en
FORCE,The Senator's filibuster halted the passage of the bill.,en
FORCE,Our relationship is losing steam.,en
FORCE,He pushes me too hard.,en
FORCE,She pushed me into doing it.,en
FORCE,They dragged me into doing it.,en
FORCE,I am being pulled along by the current.,en
FORCE,She leaned on him to do it.,en
FORCE,She put the lean on him.,en
FORCE,He is a mover and a shaker.,en
FORCE,He really throws his weight around.,en
FORCE,"Bloomberg Goes to Washington to Push Gun Laws, but Senate Has Other Ideas ",en
FORCE,Livingston County judge: Cuomo administration steamrolled lawmakers on gay marriage vote,en
FORCE,Vanity finally drove me to have the operation.,en
FORCE,He turned all funny.,en
FORCE,He turned into a monster.,en
FORCE,"There was a remarkable turn-round from an $ 828,000 loss to a $ 175,000 surplus.",en
FORCE,She has gone mad over him.,en
FORCE,The friendship turned sour last summer.,en
FORCE,My father became fierce when he lost his temper.,en
FORCE,He was growing anxious for her being again at Mansfield.,en
FORCE,K. erwartet eine Konjunkturwende in Ostdeutschland noch in diesem Jahr.,de
FORCE,It is smooth sailing from here on in.,en
FORCE,It's all downhill from here.,en
FORCE,There's nothing in our way.,en
FORCE,She guided him through it.,en
FORCE,She walked him through it.,en
FORCE,She led him through the rough parts.,en
FORCE,I am proud of the momentum towards Fair Trade that now exists.,en
FORCE,the Lisbon strategy is going to have new momentum.,en
FORCE,It is now time ... because the momentum is there.,en
FORCE,Last November saw the peace process gather momentum.,en
FORCE,Economic growth has gained momentum.,en
FORCE,I think some momentum is being lost.,en
FORCE,This momentum is diminishing day by day.,en
FORCE,"On the contrary, it created new momentum.",en
FORCE,We urgently need a European policy to give momentum to this sector.,en
FORCE,Now the time has come to regenerate a new momentum in the reform process.,en
FORCE,Appointing people who are even worse than NN ... will destroy the momentum and work against progress.,en
FORCE,The report comes at the right moment to maintain the momentum for the in-depth revision of the Directive.,en
FORCE,Europe must now keep the momentum going.,en
FORCE,We are not convinced at this stage that such an initiative would indeed boost momentum in the region.,en
FORCE,The new government is encouraged to consolidate and enhance the momentum of political reform.,en
FORCE,"I, too, am in favour of an evaluation and of our now putting to the test /…/, but we also need new momentum",en
FORCE,"But this requires reform, it requires economic momentum, and it requires higher rates of productivity.",en
FORCE,I believe we should take advantage of the momentum generated by the Transatlantic Agenda.,en
FORCE,I hope that we can use this momentum together for the benefit of effective European solidarity.,en
FORCE,This momentum causes an increasing number of delegations to realise that it is more in their interests for the talks to succeed than to fail.,en
FORCE,We are going upstream.,en
FORCE,We are fighting an uphill battle.,en
FORCE,It’s a steep road ahead.,en
FORCE,It’s a long and winding road.,en
FORCE,We are in rough waters.,en
FORCE,…die…Hilfe zur Selbsthilfe endlich in Gang bringen…,de
FORCE,…das Asylverfahren zu beschleunigen…,de
FORCE,Aber das rasante Tempo [deutsche Einigung] ließ keine Zeit…,de
FORCE,"Wie war es Major möglich gewesen, den Trend zu bremsen…",de
FORCE,„Wir haben da erfolgreich einen Anstoß gegeben…,de
FORCE,"…bei aller Verschleierung und Immobilität, auch der Beginn eines Aufbruchs nach einem Moment des Innehaltens…",de
FORCE,…die europäische Einigung vorantrieben…,de
FORCE,Dieser investive Schub…,de
FORCE,…den…Export in die ehemalige Sowjetunion wieder auf Touren zu bringen.,de
FORCE,..einem langsamen Tempo bei der Anpassung der Ostlöhne…,de
FORCE,This computer program turns the power on and off.,en
FORCE,"Create a complete, measurable, action plan which includes all the steps necessary to achieve your goal.",en
FORCE,We're skipping right along.,en
FORCE,I'm walking on egg shells.,en
FORCE,We slogged through it.,en
FORCE,The state took a big step toward banning assault weapons.,en
FORCE,Congress moved quickly to avoid a governmental shutdown.,en
FORCE,The legislature is considering an alternative approach to deficit reduction.,en
FORCE,Postal Service bill faces roadblocks,en
FORCE,Scientists have taken a big step in understanding Alzheimer’s disease.,en
FORCE,We’ve taken the first step.,en
FORCE,I’m moving right along on the project.,en
FORCE,She made great strides in her dissertation.,en
FORCE,She climbed out of poverty.,en
FORCE,We are trying to find the most elegant approach to solving this problem.,en
FORCE,Heutige Kriegstechnik ist weiter…,de
FORCE,"Dieses Projekt erfordert natürlich einen mächtigen „Sprung voran, bei dem eine „ökumenische Weite Minimalziel ist.",de
FORCE,…die Dynamik von Fortschritt…,de
FORCE,Die Progressiven…,de
FORCE,…kommen die Investitionen in Ostdeutschland erstaunlich gut voran.,de
FORCE,…welche Fortschritte auf dem Weg zu diesem Ziel gemacht werden.,de
FORCE,Den Aufschwung der Region würden bessere Anbindungen…viel eher voranbringen.,de
FORCE,Europa auf dem Weg zur „Gemeinschaft… einen Schritt voran bringt.,de
FORCE,"Mit ihm…sei das absolute Wissen erreicht, sei der Geist endgültig beim Bewusstsein seiner Freiheit angelangt.",de
FORCE,We’ve come a long way.,en
FORCE,We’ve covered lots of ground.,en
FORCE,We’ve made it this far.,en
FORCE,Oil shares continued to move ahead …,en
FORCE,XYZ-Aktien rückten vor.,en
FORCE,The Service will continue to stagger from crisis to crisis.,en
FORCE,We are moving ahead.,en
FORCE,Let’s forge ahead.,en
FORCE,Let’s keep moving forward.,en
FORCE,We made lots of forward movement.,en
FORCE,We are sliding backward.,en
FORCE,We are backsliding.,en
FORCE,We need to backtrack.,en
FORCE,It is time to turn around and retrace our steps.,en
FORCE,We are at a standstill.,en
