IS_ANNOTATION,LinguisticExamples
COVERING,The US is blind to the limits of Palestinian politics.
COVERING,The issue was exposed to the light of day.
COVERING,The government covered up the high levels of radiation.
COVERING,Ecologists Shed New Light On Effects of Light Pollution On Wildlife
FORCE,Apply more force to the edge of the lid.
FORCE,Direct more force at the hinges.
FORCE,Focus force on the weak spots.
FORCE,It took a lot of force to open it.
FORCE,Use more force in driving the nail.
FORCE,Exert more force on the lock.
FORCE,Put more force behind your punches.
FORCE,Back up your punches with more force.
FORCE,Put more force into your punches.
FORCE,Put more force into your punches.
FORCE,His punches carry a lot of force.
FORCE,Each sentence contained the force of an order.
FORCE,His punches have a lot of force.
FORCE,His punches have a lot of force.
FORCE,Her death hit us with a lot of force.
FORCE,The force of the blow knocked me over.
FORCE,The force added to the swing was enough to send the ball over the fence.
FORCE,The trial thrust O.J.'s attorney's into the limelight.
FORCE,FDR's leadership brought the country out of the depression.
FORCE,That experience pushed him over the edge
FORCE,and she sat up to meet its thrusts
FORCE,you’re always so battered by the world outside.
FORCE,"as if in dread of being attacked, restless and keen"
FORCE,and then been violently shattered with the greatest shock and pain by her fickle- ness and frivolities.
FORCE,"A shaft of pain cut through the nebulous pattern,/ of blows and humiliations not yet dissolved"
FORCE,Some shock shattered you and made you distrustful of a single love.
FORCE,his extended love was unequal to the power of what was dragging her down
FORCE,about to be sucked in by a hidden cyclone.
FORCE,That coat pulled me into the store.
FORCE,The smell of the cookies dragged me against my will to the cookie jar.
FORCE,I was drawn to him.
FORCE,They are attracted to each other.
FORCE,"it does pull me in, it pulls me back in at certain points, and when I’m pulled in I can’t really pay as much attention to what’s happening."
FORCE,"It drew me in again further, fascinated."
FORCE,I was so wrapped up in the movie I forgot to pause on the man itself.
FORCE,and I get caught up in it.
FORCE,it’s very gripping.
FORCE,that captured me in a way that some movies don’t. [22] it kind of sucks you in.
FORCE,and that kind of further ties me in.
FORCE,"being really, really hooked into the story."
FORCE,He is unbalanced.
FORCE,She’s not on an even keel.
FORCE,They’re upset.
FORCE,I’m a very stable individual.
FORCE,She’s quite level-headed
FORCE,You have to weigh the pros and cons.
FORCE,The scale just tipped in favor of my voting yes.
FORCE,On the other hand. . .
FORCE,That's a lightweight issue.
FORCE,This is a substantial problem for us.
FORCE,"Before we draw any conclusions, we must weigh both sides of the issue."
FORCE,He weighed the ideas in his mind.
FORCE,You have to weigh up in your mind whether to pursue the matter or not.
FORCE,You have to weigh the costs of the new system against the benefit it will bring.
FORCE,"Before we draw any conclusions, we must weigh both sides of the issue."
FORCE,Let’s try to get around this problem.
FORCE,Harry got over his divorce.
FORCE,She’s trying to get around the regulations.
FORCE,He went through the trial.
FORCE,We ran into a brick wall.
FORCE,We’ve got him boxed into a corner.
FORCE,We hit a roadblock.
FORCE,We are at an impasse.
FORCE,I can't find my way around that.
FORCE,Debt is holding me back from reaching my goals.
FORCE,"The way of the lazy is overgrown with thorns, but the path of the upright is a level highway."
FORCE,"Thorns and snares are in the way of the perverse, the cautious will keep far from them."
FORCE,fear barrier
FORCE,barrier of fear
FORCE,fear is an obstacle
FORCE,fear blocks him from achieving his goals
FORCE,We are stuck on this problem.
FORCE,I am drowning in work.
FORCE,I am tied up with work.
FORCE,He is up to his neck in work.
FORCE,"...allow courts to circumvent the First Amendment, slowly eroding the freedom of the press in a much more subtle manner than if they gagged the media directly."
FORCE,The government should not muzzle the press.
FORCE,Our project has hit a roadblock.
FORCE,What's holding you back from pursuing your dreams?
FORCE,They faced some tough problems at the beginning of their marriage but got over them quickly.
FORCE,We have a lot of hurdles to get over in our relationship.
FORCE,Recently enacted policies provide cover for companies engaged in illicit activities.
FORCE,My life is going nowhere - I'm just spinning my wheels.
FORCE,Break out of your daily routine.
FORCE,Workers of the world throw off your chains!
FORCE,All these rules and regulations are obstacles to innovation.
FORCE,saddle the American people with gun control
FORCE,gun control trap
FORCE,Senate Republicans blocked legislation Wednesday that would have established a billion jobs program putting veterans back to work tending to the country's federal lands and bolstering local police and fire departments.
FORCE,This mini-controversy erupted when Republicans introduced a string of amendments in a final effort to obstruct passage of the reconciliation bill.
FORCE,"Though politically the country is free, its people remain chained by poverty."
FORCE,House Republicans blocked the Democrats' attempts to move forward with the healthcare bill.
FORCE,The Senator's filibuster halted the passage of the bill.
FORCE,Our relationship is losing steam.
FORCE,He pushes me too hard.
FORCE,She pushed me into doing it.
FORCE,They dragged me into doing it.
FORCE,I am being pulled along by the current.
FORCE,She leaned on him to do it.
FORCE,She put the lean on him.
FORCE,He is a mover and a shaker.
FORCE,He really throws his weight around.
FORCE,"Bloomberg Goes to Washington to Push Gun Laws, but Senate Has Other Ideas"
FORCE,Livingston County judge: Cuomo administration steamrolled lawmakers on gay marriage vote
FORCE,Vanity finally drove me to have the operation.
FORCE,He turned all funny.
FORCE,He turned into a monster.
FORCE,"There was a remarkable turn-round from an $ 828,000 loss to a $ 175,000 surplus."
FORCE,She has gone mad over him.
FORCE,The friendship turned sour last summer.
FORCE,My father became fierce when he lost his temper.
FORCE,He was growing anxious for her being again at Mansfield.
FORCE,It is smooth sailing from here on in.
FORCE,It's all downhill from here.
FORCE,There's nothing in our way.
FORCE,She guided him through it.
FORCE,She walked him through it.
FORCE,She led him through the rough parts.
FORCE,I am proud of the momentum towards Fair Trade that now exists.
FORCE,the Lisbon strategy is going to have new momentum.
FORCE,It is now time ... because the momentum is there.
FORCE,Last November saw the peace process gather momentum.
FORCE,Economic growth has gained momentum.
FORCE,I think some momentum is being lost.
FORCE,This momentum is diminishing day by day.
FORCE,"On the contrary, it created new momentum."
FORCE,We urgently need a European policy to give momentum to this sector.
FORCE,Now the time has come to regenerate a new momentum in the reform process.
FORCE,Appointing people who are even worse than NN ... will destroy the momentum and work against progress.
FORCE,The report comes at the right moment to maintain the momentum for the in-depth revision of the Directive.
FORCE,Europe must now keep the momentum going.
FORCE,We are not convinced at this stage that such an initiative would indeed boost momentum in the region.
FORCE,The new government is encouraged to consolidate and enhance the momentum of political reform.
FORCE,"I, too, am in favour of an evaluation and of our now putting to the test /…/, but we also need new momentum"
FORCE,"But this requires reform, it requires economic momentum, and it requires higher rates of productivity."
FORCE,I believe we should take advantage of the momentum generated by the Transatlantic Agenda.
FORCE,I hope that we can use this momentum together for the benefit of effective European solidarity.
FORCE,This momentum causes an increasing number of delegations to realise that it is more in their interests for the talks to succeed than to fail.
FORCE,We are going upstream.
FORCE,We are fighting an uphill battle.
FORCE,It’s a steep road ahead.
FORCE,It’s a long and winding road.
FORCE,We are in rough waters.
FORCE,This computer program turns the power on and off.
FORCE,"Create a complete, measurable, action plan which includes all the steps necessary to achieve your goal."
FORCE,We're skipping right along.
FORCE,I'm walking on egg shells.
FORCE,We slogged through it.
FORCE,The state took a big step toward banning assault weapons.
FORCE,Congress moved quickly to avoid a governmental shutdown.
FORCE,The legislature is considering an alternative approach to deficit reduction.
FORCE,Postal Service bill faces roadblocks
FORCE,Scientists have taken a big step in understanding Alzheimer’s disease.
FORCE,We’ve taken the first step.
FORCE,I’m moving right along on the project.
FORCE,She made great strides in her dissertation.
FORCE,She climbed out of poverty.
FORCE,We are trying to find the most elegant approach to solving this problem.
FORCE,We’ve come a long way.
FORCE,We’ve covered lots of ground.
FORCE,We’ve made it this far.
FORCE,Oil shares continued to move ahead …
FORCE,XYZ-Aktien rückten vor.
FORCE,The Service will continue to stagger from crisis to crisis.
FORCE,We are moving ahead.
FORCE,Let’s forge ahead.
FORCE,Let’s keep moving forward.
FORCE,We made lots of forward movement.
FORCE,We are sliding backward.
FORCE,We are backsliding.
FORCE,We need to backtrack.
FORCE,It is time to turn around and retrace our steps.
FORCE,We are at a standstill.
FORCE,We aren’t getting anyplace.
FORCE,We are going nowhere with this.
FORCE,He hadn't made much headway in writing the termpaper.
FORCE,I'm afraid I haven't gotten very far in grading the exams.
FORCE,In London sind die Kurse … zurückgegangen.
FORCE,The market eased back from its recent advance.
FORCE,The province is quite close to sliding into civil war.
FORCE,I came out of my depression.
FORCE,He went crazy.
FORCE,He went over the edge.
FORCE,She entered a state of euphoria.
FORCE,He fell into a depression.
FORCE,He went deeper into his depression.
FORCE,"In the sun, the clothes went from wet to dry in an hour."
FORCE,"In the sun, the clothes went from wet to dry in an hour."
FORCE,He went from innocent to worldly.
FORCE,She was nearly insane.
FORCE,He slipped into a depression.
FORCE,His hair went gray.
FORCE,He went from laughing to crying.
FORCE,She was nearly crying.
FORCE,He went back to/returned to polishing the silver.
FORCE,My car has gone from bad to worse lately.
FORCE,I got a headache.
FORCE,My headache went away.
FORCE,The noise gave me a headache.
FORCE,The aspirin took away my headache.
FORCE,The council brought the project into compliance with state regulations.
FORCE,This book will guide you step by step how to apply for citizenship.
FORCE,cash flow
FORCE,The money is gushing out of my retirement account.
FORCE,He can exert his influence on her.
FORCE,Her influence was strong.
FORCE,She could bend his will.
FORCE,Reagan brought pressure to bear upon his cabinet.
FORCE,I was moved by the poem.
FORCE,I was pushed into depression.
FORCE,She was carried away by the song.
FORCE,He was struck by anger.
FORCE,I was moved by the poem.
FORCE,I can feel the good vibrations.
FORCE,I can feel the good vibrations.
FORCE,felt a sudden restlessness like that of a ship pulling against its moorings.
FORCE,"expressed in multiple movements, wasted, unnecessary, like the tu- mult of wind or water"
FORCE,making for tumult and motion
FORCE,"But inevitably, she would grow restive and tumultuous, chaotic and disturbed."
FORCE,"The same irresistible impulse, tension, compulsion and then depression following the yielding to the impulse, revulsion, bitterness, depression, and the compulsion once more."
FORCE,All the tensions of pretences ceased.
FORCE,and not a chaos which carried her.
FORCE,her own nerves did not coil and spring within her
FORCE,"The wild compass whose fluctuations she had always obeyed, making for tumult and motion in place of direction, was suddenly fractured."
FORCE,add heavily to the weights pulling her downward
FORCE,she carried too great a weight of untold stories
FORCE,her mood of weight and fatigue.
FORCE,At the same time a strange wave of anger appeared which she felt and could not understand.
FORCE,"But inevitably, she would grow restive and tumultuous, chaotic and disturbed"
FORCE,"The wild compass whose fluctuations she had always obeyed, making for tumult and motion in place of direction, was suddenly fractured so that she no longer knew even the re- lief of ebbs and flows and dispersions."
FORCE,Anxiety had entered her body and refused to run through it.
FORCE,"The silvery holes of her sieve against sorrow granted her at birth, had clogged."
FORCE,It was a stormy meeting.
FORCE,climate of anger
FORCE,flood of anger
FORCE,surge of anger
FORCE,wave of anger
FORCE,anger surge
FORCE,anger roil in(side) of someone
FORCE,anger sweeps him beyond emotion
FORCE,anger washes over her
FORCE,anger washes through him
FORCE,anger subsides away
FORCE,anger ebbs away
FORCE,let anger unroll like a wave
FORCE,staunches anger
FORCE,haven from anger
FORCE,She was engulfed by panic
FORCE,wave of fear
FORCE,He was swept off his feet
FORCE,flood of joy
FORCE,surge of joy
FORCE,joy surges through them
FORCE,joy sweeps over her
FORCE,joy sweeps through him
FORCE,to be swept away by joy
FORCE,joy subside
FORCE,She was overwhelmed with joy.
FORCE,We were carried away with happiness.
FORCE,He was swept off his feet.
FORCE,I was bowled over.
FORCE,They were transported.
FORCE,That was a terrible blow.
FORCE,Waves of depression came over him.
FORCE,rushes of sadness
FORCE,waves of sadness
FORCE,sadness sweeps over her
FORCE,sadness washes over them
FORCE,They were drawn to each other.
FORCE,He found the brussel sprouts repulsive.
FORCE,Tom Hanks is very attractive.
FORCE,I was forced to do it.
FORCE,I could feel the electricity between us.
FORCE,There were sparks.
FORCE,I was magnetically drawn to her.
FORCE,They are uncontrollably attracted to each other.
FORCE,They gravitated to each other immediately.
FORCE,The atmosphere around them is always charged.
FORCE,There is incredible energy in their relationship.
FORCE,They lost their momentum.
FORCE,She knocked me out.
FORCE,I was bowled over by him.
FORCE,We were immediately attracted to each other.
FORCE,There was a magnetism between us.
FORCE,We were drawn to each other.
FORCE,He swept her off her feet.
FORCE,The hit sent the crowd into a frenzy.
FORCE,FDR’s leadership brought the country out of the depression.
FORCE,The home run threw the crowd into a frenzy.
FORCE,The home run threw the crowd into a frenzy.
FORCE,Their negotiations pulled both sides from the brink of war.
FORCE,That experience pushed him over the edge.
FORCE,Her speech moved the crowd to rage.
FORCE,The news propelled the stock market to record heights.
FORCE,The trial thrust O.J.’s attorneys into the limelight.
FORCE,We’ve accelerated the building of the new bridge.
FORCE,They pushed the bill through Congress.
FORCE,California Cities Struggling Under Wave of Corruption
FORCE,FIFA facing corruption 'tsunami'
LINK,There’s strong bond between them.
LINK,having connections
LINK,breaking social ties
LINK,the bonds of slavery
OBJECT,Seize the opportunity.
OBJECT,Don’t lose this opportunity.
OBJECT,Don’t let the opportunity pass you by.
OBJECT,You have to make your own opportunities.
OBJECT,I’ve had 3 opportunities to meet him.
OBJECT,You rarely find that kind of opportunity.
OBJECT,We've got plenty of chances left.
OBJECT,I've squandered every opportunity to advance my career.
OBJECT,I want control over my own existence.
OBJECT,The dodo disappeared in the 1600s.
OBJECT,Sally gave the idea to Sam.
OBJECT,Sally took the idea from Sam.
OBJECT,Sally traded ideas with Sam.
OBJECT,Sally sold the idea to the highest bidder.
OBJECT,IBM bought the idea from him.
OBJECT,Sally has an idea.
OBJECT,Sally put the idea aside.
OBJECT,Sally threw the idea at Sam.
OBJECT,Sally lost her idea.
OBJECT,Sally found an idea in the book.
OBJECT,Sally carries that idea around with her all the time.
OBJECT,Sally searched for an idea all day.
OBJECT,It`s difficult to put my ideas into words.
OBJECT,What’s the matter?
OBJECT,"The distribution of sex cells, however, was a different matter."
OBJECT,It is difficult for unilateralists to admit there is another side to the missile question.
OBJECT,That is a very hard question to answer.
OBJECT,It’s a tough problem.
OBJECT,Let us turn to less weighty matters.
OBJECT,You'd need an electron microscope to find the point of this essay.
OBJECT,The meaning is right there in the words.
OBJECT,His words carry little meaning.
OBJECT,Don’t force your meaning into the wrong words.
OBJECT,The sentence is without meaning.
OBJECT,Don't waste your time.
OBJECT,Our time is valuable.
OBJECT,We don't have much time.
OBJECT,Stars whose careers collapsed in a relatively short amount of time
OBJECT,How to make a career out of things you would do even for free.
OBJECT,The noise is giving me a headache.
OBJECT,"Again, if by any chance, we should ultimately win out in such a war, what would it cost us in treasure and in blood?"
OBJECT,Let's toss some ideas around.
OBJECT,He just can't seem to grasp the concept.
OBJECT,He got a good handle on the subject matter.
OBJECT,The oil spill has caused a shock to the environment.
OBJECT,Smog pollution is an environmental malaise.
OBJECT,Ecologists are nursing the Bay back to health.
OBJECT,She has a nice sense of humor.
OBJECT,He lost his tolerance for alcohol.
OBJECT,She gained a new equanimity.
OBJECT,He got his red hair from his mother.
OBJECT,He gave his son a sense of self-worth.
OBJECT,He gives his art a certain integrity.
OBJECT,Harry has trouble.
OBJECT,I have a headache.
OBJECT,She has a sunny disposition.
OBJECT,This place has lost a lot of its charm.
OBJECT,The new mustache gave him an older appearance.
OBJECT,"The dummies were 2-to-1 in favor of the Arizona immigration law; the court gutted it. Only those dummies, not in a state of denial, understand that we the people have lost control of our government."
OBJECT,"But meanwhile, you may not have noticed that our government gave away control of the Internet."
OBJECT,"You could talk about the dealerships, auto dealerships that were closed down when the government got control of a couple of the auto companies, an awful lot of people lost jobs, businesses were closed, and so on."
OBJECT,"The Shadow Party: How George Soros, Hillary Clinton, and Sixties Radicals Seized Control of the Democratic Party"
OBJECT,Her ego is very fragile.
OBJECT,You have to handle him with care since his wife’s death.
OBJECT,He broke under cross-examination.
OBJECT,She is easily crushed.
OBJECT,The experience shattered him.
OBJECT,His mind snapped.
OBJECT,He cracked up.
OBJECT,Do the exercises at the end of this chapter.
OBJECT,She came to a calculated decision.
OBJECT,We're still trying to grind out the solution to this equation.
OBJECT,My mind isn't operating today.
OBJECT,Boy the wheels are turning now!
OBJECT,I'm a little rusty today.
OBJECT,We've been working on this problem all day and now we're running out of steam.
OBJECT,sharp anger
OBJECT,pinpoint of anger
OBJECT,spike of anger
OBJECT,hook of anger
OBJECT,blunted anger
OBJECT,anger clips his words
OBJECT,prick/shaft of fear
OBJECT,fear cuts to her
OBJECT,fear slices through Mary
OBJECT,I was beside myself
OBJECT,He destroys her joy
OBJECT,She breaks his joy
OBJECT,disgust be spur
OBJECT,shaft of disgust
OBJECT,heavy disgust
OBJECT,It outweighs disgust
OBJECT,Are you going to the race?
OBJECT,Did you see the race?
OBJECT,He’s seeking his fortune.
OBJECT,He’s flaunting his new-found wealth.
OBJECT,He’s a fortune-hunter.
OBJECT,She’s a gold-digger.
OBJECT,He lost his fortune.
OBJECT,He’s searching for wealth.
OBJECT,Let’s look at the make-up of this problem.
OBJECT,Let’s look at all the components of the problem.
OBJECT,A lot of factors went into creating this problem.
OBJECT,My mind was racing.
OBJECT,My mind is tired.
OBJECT,I see what you mean.
OBJECT,Something doesn't smell quite right here.
OBJECT,Listen to what your father tells you.
OBJECT,"I have no idea what my friends are doing, they've kept me completely in the dark."
OBJECT,"I've almost got an idea, but I can't quite put my finger on it."
OBJECT,I could never put my finger on what the problem was. I felt crazy at times and there were so many times that I would approach him with a very well-thought out ...
OBJECT,The marks on the carpet show that the perpetrator wore boots.
OBJECT,Let me illustrate the theory with some examples.
OBJECT,I'm now going to show you that you are wrong.
OBJECT,He pointed out that global warming is real.
OBJECT,Do I have to draw a picture for you?
OBJECT,He painted an idyllic picture of their life together.
OBJECT,"For many weeks, I couldn't see how to solve the problem."
OBJECT,"I see that the two lines must be equal, but I don't know how to prove it."
OBJECT,The plans for the trip have finally been firmed up.
OBJECT,Next year's budget is fairly solid at this point.
OBJECT,He lost his faith.
OBJECT,He got rid of his headache.
OBJECT,The US handed over control of the prisoners to Afghan authorities.
OBJECT,The Democrats wrested control of four governerships from the Republicans
OBJECT,The government acquired control of the company's assets.
OBJECT,One down of the three pillars of “unalienable” rights that hold up this great country of ours.
OBJECT,"This is an us against-them battle, but the “them” are those who would dismantle our rights."
OBJECT,Don't let anyone take away your right to vote.
OBJECT,The government's move to censor the internet is trampling all over our rights to free speech and freedom of the press.
OBJECT,He has control over all the workers.
OBJECT,The president kept his hold on power.
OBJECT,She regained control of the assembly.
OBJECT,He possesses the power to heal small animals.
OBJECT,He's putty in her hands.
OBJECT,You gave me a great idea!
OBJECT,Try to pack more thoughts into fewer words.
OBJECT,Whenever you have a good idea practice capturing it in words.
OBJECT,Don't force your meanings into the wrong words.
OBJECT,Try to get your thoughts across better.
OBJECT,You still have to give me an idea of what you mean.
OBJECT,We have to restructure this firm.
OBJECT,Every new bill the President proposes chips away at our freedoms.
OBJECT,Imposing martial law will undermine the very foundations of democracy.
OBJECT,Do gun rights protect against tyranny?
OBJECT,plant the seeds of democracy
OBJECT,democracy blossoms
OBJECT,democracy for sale
OBJECT,force-feed the economy back to health
OBJECT,Withered government: leave it to the rich
OBJECT,"Government is not a machine, but a living thing. It falls, not under the theory of the universe, but under the theory of organic life. It is accountable to Darwin, not to Newton. It is modified by its environment, necessitated by its tasks, shaped to its functions by the sheer pressure of life. No living thing can have its organs offset against each other, as checks, and live."
OBJECT,This responsibility falls squarely on the shoulders of the government.
OBJECT,"Obama, Dems flex muscles on energy policy as platform embraces options"
OBJECT,China Using Government Muscle to Turbo Charge its Auto Industry
OBJECT,India government regains its muscle with reforms
OBJECT,the gun lobby has squashed federal funding
OBJECT,It was a traumatic experience.
OBJECT,Her death hurt him.
OBJECT,The accusation wounded her.
OBJECT,He’s mentally ill/fit.
OBJECT,My pride was wounded.
OBJECT,"She recovered from the wound to her psyche, but scars remained."
OBJECT,International Poll Finds U.S. Still Viewed As World's Bully
OBJECT,Another round of cuts will cripple the economy.
OBJECT,Cynicism has killed the gun-control debate
OBJECT,oppressive shackles of gun control
OBJECT,I believe in personal responsibility and the government shouldn't be a babysitter but I also believe in compassion for less advantageous people.
OBJECT,"Can I decide what size soda I want to drink? No, that’s the nanny state’s job."
OBJECT,The Syrian government is driving Syria into a dangerous zone.
OBJECT,The current Japanese government is steering the country toward Socialism.
OBJECT,"Signal left, turn right: central rhetoric and local reform in China."
OBJECT,"In my view, the federal government should lead the way. The bill we’ve introduced requires the federal government to increase its use of renewable electricity and reduce its overall energy consumption in federal buildings, both new and old. We can’t expect consumers to embrace energy efficient technology if their government does not do the same."
OBJECT,Parents are so uneducated about health that they will follow the government down any misguided path.
OBJECT,Big Father: The Government as Parent
OBJECT,"Doctrine of Parens Patriae."" Parens Patriae means literally, ""parent of the country."" It refers traditionally to the role of STATE as sovereign and guardian of persons under legal disability."
OBJECT,"The US government loves you. In fact, it loves you so much that it’s willing shackle your legs together. Just to protect you – tough love, baby. Now, it may hurt a bit but just try to breathe through the pain. Remember – it hurts the government more than it hurts you."
OBJECT,"A proper government is only a policeman, acting as an agent of man’s self-defense, and, as such, may resort to force only against those who start the use of force."
OBJECT,The government should cater to the needs of its citizens.
OBJECT,Citizen Sheep Government Shepherds
OBJECT,"Such a power does not destroy, but it prevents existence; it does not tyrannize, but it compresses, enervates, extinguishes, and stupefies a people, till each nation is reduced to nothing better than a flock of timid and industrious animals, of which the government is the shepherd."
OBJECT,Obama and the Progressives do not believe this. They believe they must decide what is best. In their view Americans are sheep and they are the shepherd.
OBJECT,"There can be no doubt that the federal government is the new slave master, something the Founding Fathers warned us against."
OBJECT,"Government should be a referee, not an active player"
OBJECT,The economy is falling apart.
OBJECT,"With The Economy Humming, Will Manufacturing Software Help Manufacturers Stay In Tune?"
OBJECT,"Although we have a long way to go before we can put this recession behind us, the gears of our economic engine do appear ... to be slowly turning once again,"
OBJECT,"With a heavy Republican majority, Congress churned out bill after bill."
OBJECT,"With a unified House and Senate, the well-oiled gears of government turn smoothly."
OBJECT,I look forward to helping keep the legislative wheels turning smoothly in our 105-day session.
OBJECT,Cloture would make the legislative gears turn smoothly.
OBJECT,"Confronted with the grinding cogs of bureaucracy, but needing a new cap, Coltrane shrugged and filled out the form."
OBJECT,The creation of this board of unelected bureaucrats is yet another tentacle of the Obama Administration digging its way into the doctors-patient relationship.
OBJECT,A good education is a powerful resource.
OBJECT,"Like some it is supposed to serve, Massachusetts government has become flabby."
OBJECT,Randy has a plan to turn a bloated government of Washington bureaucrats into a lean and efficient government
OBJECT,"Tax Revolt: The Rebellion Against an Overbearing, Bloated, Arrogant, and Abusive Government"
OBJECT,Tom Barrett: Put state government on a diet
OBJECT,"Our state government, a well oiled machine of efficiency."
OBJECT,"If the injustice is part of the necessary friction of the machine of government, let it go, let it go: perchance it will wear smooth--certainly the machine will wear out. If the injustice has a spring, or a pulley, or a rope, or a crank, exclusively for itself, then perhaps you may consider whether the remedy will not be worse than the evil; but if it is of such a nature that it requires you to be the agent of injustice to another, then I say, break the law. Let your life be a counter-friction to stop the machine. What I have to do is to see, at any rate, that I do not lend myself to the wrong which I condemn."
OBJECT,"They had elected him (Jackson) to conduct the Government and to keep and remove its moneys, and he meant to do so on the principle that it was a simple machine."
OBJECT,"More especially, the analogy mentioned between institutions and machines must not be interpreted as proposing the theory that institutions are machines—in some essentialist sense."
OBJECT,I would venture to conclude from this that institutions are vehicles of subcultures driven by groups of people with a common destination
OBJECT,"May 27, 2011 – The “health” of an institution is measured by the effectiveness of its organization and mission, and also by how well it plans for the future."
OBJECT,The Crumbling Walls of the Roman Catholic Church
OBJECT,Institutional reform
OBJECT,"It is how, in every Western country, trust in government has suddenly, dramatically collapsed in the crisis' aftermath."
OBJECT,We are working hard to rebuild the trust of our customers.
OBJECT,The scandals have shaken the foundations of trust in the market.
OBJECT,"Their practices and policies have put them right in the cross hairs and it is only a matter of time before someone pulls the trigger. When that happens, one will be left to wonder whether it is a suicide, a homicide or a mercy killing."
OBJECT,"But as much as the U.S. wants to be close-knit friends with Canada, Canada ... Same can't be said about many other countries in the world that ..."
OBJECT,Which country is your country's best friend?
OBJECT,Rising food prices can topple governments
OBJECT,Afghanistan's government could collapse after 2014.
OBJECT,You have to set your jealousy aside.
OBJECT,He hid his love from her.
OBJECT,She gave him a push.
OBJECT,He gave me a vicious kick.
OBJECT,A large force is needed to move a heavy object.
OBJECT,The rebels wrested control of the capital city from the ruling party in a bloody coup.
OBJECT,We need to strengthen our civil liberties.
OBJECT,The government must shore up support for our religious freedoms.
OBJECT,"This is what happens when science serves up facts more indigestible than evolution. We end up with a society where the masses live in outright ignorance and denial, while the dominant institutions, thanks to market and political expediency, continually reorganize themselves around actionable intelligence as it comes in."
OBJECT,Food for thought must be appetizing. Chemistry students usually can write acceptable exposition if they know good writing is expected
OBJECT,They're just half-baked ideas.
OBJECT,Just give me the raw facts.
OBJECT,I need to put this on the back burner for a while.
OBJECT,I haven't fully digested the main gist of that paper.
OBJECT,He has an appetite for learning.
OBJECT,He has an insatiable curiosity.
OBJECT,She's the kind of person you always need to sugar-coat it for to get her to do anything.
OBJECT,"Incurable sex offenders, lousy judges and the new media: Moral panic sustenance in the age of new media"
OBJECT,The very thought of it makes me sick.
OBJECT,That's bullshit!
OBJECT,You'd need an electron microscope to find the point of this essay.
OBJECT,The theory of relativity gave birth to an enormous number of ideas in physics.
OBJECT,He is the father of modern biology.
OBJECT,Whose brainchild was that?
OBJECT,Look at what his ideas have spawned.
OBJECT,Those ideas died off in the Middle Ages.
OBJECT,His ideas will live on forever.
OBJECT,Cognitive psychology is still in its infancy.
OBJECT,That's an idea that ought to be resurrected.
OBJECT,He breathed new life into that idea.
OBJECT,I have an idea.
OBJECT,She gave me a good idea.
OBJECT,Keep your opinion to yourself!
OBJECT,This gives me a great idea!
OBJECT,I got a much better idea of what was going on after the last meeting.
OBJECT,"She had acquired an intimate knowledge of the terrain, which now helped her to travel quickly."
OBJECT,Her experience gave her a great deal of knowledge.
OBJECT,Hold on to your beliefs and never let them go.
OBJECT,Shatter the rules of the market economy
OBJECT,How to Build A Law
OBJECT,dismantle gun laws
OBJECT,Out of these discussions will grow legislation of farreaching importance.
OBJECT,"In a democratic government, authority is given to it by the people."
OBJECT,"If you soak it in water, the wood will lose its rigidity."
OBJECT,"Congress is producing little this election year that will become law, yet both parties are churning out bills designed to make the other side look bad."
OBJECT,The president drove the nation into a ditch.
OBJECT,Obama on GOP: 'They Drove The Country Into A Ditch...Now They Want The Keys Back'
OBJECT,Where was he when he drove our country off a cliff?
OBJECT,The president is steering the country into unknown waters.
OBJECT,Scuttling the Ship of State to appease climate activists.
OBJECT,Our country is burdened by debt and that may sink us in the rough waters ahead.
OBJECT,Within a federalist framework the nation is a body in crisis threatened from within by one of its own. It is about to be dismembered.
OBJECT,"Iowa is the heart of the nation, where everyone greets you with a smile and you wave at strangers!"
OBJECT,Snitch Culture: How Citizens are Turned into the Eyes and Ears of the State
OBJECT,"This is a time to build a nation, brick by brick, pillar by pillar, not a time to tear down our brothers and sisters or pillage their property,"
OBJECT,They represent the brick and mortar of our nation's developing infrastructure.
OBJECT,Our nation is built on the bedrock principle that governments derive their just powers from the consent of the governed.
OBJECT,"The infrastructure that is the foundation of our nation is eroding, endangering the whole structure of our economy."
OBJECT,Infrastructure: The Foundation for Wealth and Poverty Reduction
OBJECT,Are They Parts of Our Nation? Tanzanian and Zambian University Students’ Attitude to the European and South Asian Minorities Compared
OBJECT,No one built this country on their own. This nation is great because we built it together.
OBJECT,"If the President doesn't show some leadership, the country will grind to a halt."
OBJECT,...and asked them to be serious towards bringing a full-fledged budget at the earliest to ensure that the country functions smoothly.
OBJECT,We must rouse our nation from its slumber.
OBJECT,"Saltykov explored the psychological problems resulting from the shifting of a nation's gears, of creating a new way of life."
OBJECT,Only one thing stands between Western civilization and chaos: the United States.
OBJECT,"... we must deepen our understanding of the economic value of nature and invest in the vital services that it provides for us, if we are to have a truly sustainable economic future."
OBJECT,"To start with, everything we are made of and everything we make comes from the environment."
OBJECT,3rd #WinterWeatherAdvisory in 3 weeks. Think #MotherNature doesn't want an early spring :P
OBJECT,"Dear #Mothernature , please don't tease us Texans with this awesome weather until you plan on staying this way. Thanks:)"
OBJECT,"Nature Tries to Shift Outer Banks, But Man Keeps Shoveling It Back"
