sentence,image_schema
hohe und tiefe Töne,VERTICALITY
ein tiefer Bass,VERTICALITY
He dropped his voice.,VERTICALITY
She screamed at the top of her voice.,VERTICALITY
He raised his voice.,VERTICALITY
"Apparently, I’m not the only parent who’s concerned about high stakes testing.",VERTICALITY
"Debt, debt, debt; we're drowning in it. This morning, the Office for National Statistics published the latest estimates of public sector borrowing. Though borrowing is falling faster than anticipated, thanks to the fact that spending cuts are finally beginning to kick in, the national debt has risen to 64.2 per cent of GDP. More significantly, we now owe more than £1 trillion, or around £16,000 for every person in the country. ",VERTICALITY
The upwardly mobile are moving into nicer neighborhoods.,VERTICALITY
Moving up the social ladder: The bottom rung vs the top rung,VERTICALITY
His strength declined as he aged.,VERTICALITY
He is under my control.,VERTICALITY
He fell from power.,VERTICALITY
His power is on the decline.,VERTICALITY
There’s strong bond between them.,LINK
having connections,LINK
breaking social ties,LINK
the bonds of slavery,LINK
Something is missing in that argument.,PART-WHOLE
A unified theory.,PART-WHOLE
His thoughts are scattered.,PART-WHOLE
The theory is a mess/ all over the place.,PART-WHOLE
Everything fell into place.,PART-WHOLE
I’m missing a piece of the puzzle.,PART-WHOLE
How/where does this fit with what you were saying before?,PART-WHOLE
His argument lacked coherence.,PART-WHOLE
That story just doesn’t hang together.,PART-WHOLE
We were made for each other.,PART-WHOLE
We are one.,PART-WHOLE
She is my other half.,PART-WHOLE
He is a perfect match.,PART-WHOLE
"If ever two were one, then surely we.",PART-WHOLE
She is my better half.,PART-WHOLE
Five is made up of two plus three.,PART-WHOLE
You can factor 28 into 7 times 4.,PART-WHOLE
"If you put 2 and 2 together, you get 4.",PART-WHOLE
"You could call me just a work-for-hire hack, and a willing, contented cog in a bureaucratic machine.",PART-WHOLE
"Earth is part of the group of ""terrestrial"" planets. ",PART-WHOLE
The Milky Way belongs to a cluster of galaxies.,PART-WHOLE
Our galaxy has at least 100 billion planets.,PART-WHOLE
The eye possesses several parts.,PART-WHOLE
Which car part belongs to which car?,PART-WHOLE
Der grundlegende Dissens…wäre nicht mehr zu überbrücken.,SPLITTING
…welcher Graben diese Politiker von den Bürgern trennt…,SPLITTING
Hier gibt es zwischen Bürger und Partei…kaum noch eine Brücke.,SPLITTING
…nur noch die unüberbrückbare Fremdheit zwischen zwei Ausgestoßenen…,SPLITTING
"Wie groß die Lücke ist, die zwischen der Gefahr der Katastrophe und den Rettungsmaßnahmen klafft.",SPLITTING
…habe sich die Kluft zwischen Nord und Sud verdoppelt.,SPLITTING
Dann vertieft sich der Graben…,SPLITTING
…eine riesige Kluft zwischen der Auffassung der Mehrheit der SPD-Funktionäre und der Bevö1kerung…Diese Lücke müsse bald geschlossen werden.,SPLITTING
Die tiefe Kluft zwischen Nord und Süd…,SPLITTING
Americans are divided as to whether a third major party is needed in U.S. politics today,SPLITTING
What separates the men from the boys?,SPLITTING
"The story is not primarily about salvation, but about severe judgement, and it ends in tragedy, in hopes dashed most cruelly to smithereens.",SPLITTING
"As the credibility of the DLV lay in shreds, the greater consequences for world sport were being considered by, among others, Norbert Laurens, the lawyer for the DLV.",SPLITTING
Dartford's hopes also crumbled rapidly when Exeter scored three times in an eight-minute spell in the second half.,SPLITTING
Mrs Margaret Thatcher has struck three notes since the Communist world began to disintegrate.,SPLITTING
"Sometimes truth may be suppressed for a long time but while it is imprisoned it gathers to itself more and more power so that on the day that it is finally released it explodes, blowing everything asunder.",SPLITTING
"She felt as though she was dying, as though her heart was being ripped piece by piece into shreds, but she had to go on and finish the programme.",SPLITTING
"My mother, I'm afraid, went quite to pieces after his death.",SPLITTING
" The hallways are filled with the sounds of middle school students, primarily eighth graders, dissecting the second presidential debate from the evening before. ",SPLITTING
That’s a big discovery.,SCALE
Let’s look at the larger issues.,SCALE
That’s a monumental discovery.,SCALE
Mr. Big,SCALE
The big cheese,SCALE
He’ll never amount to anything.,SCALE
Tomorrow is a big day.,SCALE
Maslow is a towering figure in humanistic psychology.,SCALE
He stands head and shoulders above them.,SCALE
That's a bigwig.,SCALE
He has to be cut down to size (i.e. reduced to his real importance.,SCALE
A big part of this mission was not to contaminate the planet with Earth organisms.,SCALE
Texaco is a relatively small player in the California gasoline market but a bigger factor in the Eastern states that want to follow California's lead.,SCALE
He’s short of money.,SCALE
He’s long on good looks.,SCALE
He’s short on intelligence.,SCALE
Which of the two classes is bigger?,SCALE
He only has a little money.,SCALE
I’m not a big eater.,SCALE
This class is bigger than that one.,SCALE
He’s a bigger eater than she is.,SCALE
I have a smaller amount of money than he does.,SCALE
He is trying to pay off his huge debt.,SCALE
The city is expanding the number of recycling containers in parks.,SCALE
She has very little money.,SCALE
The number of available parking spaces continues to shrink.,SCALE
What is the size of your bank account?,SCALE
He doesn't know how big our national debt is.,SCALE
Do you have anything smaller than a twenty?,SCALE
Can you break a twenty?,SCALE
I only have small change.,SCALE
We don’t accept any bill larger than a twenty.,SCALE
He’s a big man in the garment industry.,SCALE
He’s a giant among writers.,SCALE
That’s the biggest idea to hit advertising in years.,SCALE
He’s head and shoulders above everyone in the industry.,SCALE
It was only a small crime.,SCALE
That was only a little white lie.,SCALE
I was astounded at the enormity of the crime.,SCALE
That was one of the greatest moments in World Series history.,SCALE
His accomplishments tower over those of lesser men.,SCALE
…Grundstückspreise auf ihrem Höchststand…,SCALE
…Einnahmen in Höhe von 282 Millionen Mark…,SCALE
…der Aufbau großer Vermögenswerte…,SCALE
Wie kommt man zum großen Geld?,SCALE
…große Zufriedenheit auslöst.,SCALE
Der Zorn der Rabbiner war groß.,SCALE
…die große Hoffnung…,SCALE
Sein großer Wunsch…,SCALE
Zu groß sei immer noch…die Skepsis…,SCALE
…großen Eindruck gemacht…,SCALE
Travelling will widen your horizon.,SCALE
They are broad-minded people.,SCALE
He expanded his interests to include music.,SCALE
You can do it by stretching imagination.,SCALE
They are narrow-minded people.,SCALE
His interests are very narrow.,SCALE
WE CANNOT HAVE ISLANDS OF PROSPERITY NEXT TO OCEANS OF POVERTY AND SQUALOR,SCALE
We need to know how big of a problem that is.,SCALE
Here are some tips to grow your business.,SCALE
Out of these discussions will grow legislation of farreaching importance.,SCALE
Credit card debt has been growing significantly,SCALE
Government transparency enables the public to hold the government accountable for how they spend their money.,COVERING
Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.,COVERING
His judgement is clouded.,COVERING
The US is blind to the limits of Palestinian politics.,COVERING
The issue was exposed to the light of day.,COVERING
The government covered up the high levels of radiation.,COVERING
Ecologists Shed New Light On Effects of Light Pollution On Wildlife,COVERING
Our conservation program needs your support.,SUPPORT
I've really been leaning on my friends the past few months.,SUPPORT
The poor in our country need a boost up.,SUPPORT
"In times of need, the impoverished should be able to lean on our government for support. ",SUPPORT
We need welfare as a safety net.,SUPPORT
Our work in the African continent [. . .] is supported by Tear Fund,SUPPORT
Our conservation program needs your support.,SUPPORT
I've really been leaning on my friends the past few months.,SUPPORT
"Aug 25, 2010 – And so, two of the main pillars of our democracy—a free press and the courts—will be assailed at the same time. ",SUPPORT
