sentence,image_schema
in die Natur dieser wirklichen Welt hineinschauen und sie gleichsam auseinanderschneiden/zerfleischen,CONTAINMENT
um aber in das Innere und Entlegenere der Natur einzudringen,CONTAINMENT
"dass noch im Schoß der Natur viele ausgezeichnete Sachen verborgen sind, die jedoch bisher nicht entdeckt worden sind",CONTAINMENT
"wie viel mehr Mühe muß dann bei dem aufgewandt werden, das aus den Eingeweiden der Natur herausgezogen werden soll?",CONTAINMENT
His actions are beyond my control.,CONTAINMENT
The whole situation spiraled out of (our) control.,CONTAINMENT
He returned to power.,CONTAINMENT
The president is in control of the executive branch.,CONTAINMENT
President Mubarak has stepped down from power.,CONTAINMENT
The restrictive regulations are holding back innovation.,CONTAINMENT
Any greater government regulation will only handcuff the industry and reduce the significant benefits hedge funds offer to the markets.,CONTAINMENT
This group contains twenty members.,CONTAINMENT
There are twenty members in this group.,CONTAINMENT
Our circle of friends is quite diverse.,CONTAINMENT
He's hasn't penetrated that group.,CONTAINMENT
Our nation contains some of the best entrepreneurs in the world.,CONTAINMENT
The western world is drowning in an ocean of debt unlike anything the world has ever seen before,CONTAINMENT
"Law enforcement officers have often described these arrests as a way of reining in criminals whose other, more serious activities present a danger to the public. ",CONTAINMENT
she held out her mind like a saucepan,CONTAINMENT
He has a pain in his shoulder.,CONTAINMENT
Don’t give me the flu.,CONTAINMENT
My cold has gone from my head to my chest.,CONTAINMENT
His pains went away.,CONTAINMENT
His depression returned.,CONTAINMENT
Hot tea and honey will get rid of your cough.,CONTAINMENT
He could barely contain his joy.,CONTAINMENT
The smile left his face.,CONTAINMENT
"Wipe that sneer off your face, private!",CONTAINMENT
His fears keep coming back.,CONTAINMENT
I’ve got to shake off this depresseion – it keeps hanging on.,CONTAINMENT
"If you’ve got a cold, drinking lots of tea will flush it out of your system.",CONTAINMENT
There isn’t a trace of cowardice in him.,CONTAINMENT
He hasn’t got an honest bone in his body.,CONTAINMENT
She is boiling with anger.,CONTAINMENT
boiling anger,CONTAINMENT
simmering anger,CONTAINMENT
anger boiling up inside of him,CONTAINMENT
anger simmering inside of her,CONTAINMENT
anger simmer beneath surface,CONTAINMENT
anger boil over (into action),CONTAINMENT
anger reach boiling point,CONTAINMENT
She boils with anger,CONTAINMENT
He seethes with anger,CONTAINMENT
He kept a lid on anger,CONTAINMENT
She vented her anger against him,CONTAINMENT
He give vent to his anger,CONTAINMENT
seething of anger,CONTAINMENT
You make my blood boil.,CONTAINMENT
I had reached the boiling point.,CONTAINMENT
a lunatic courage welling within him,CONTAINMENT
she was filled with anger,CONTAINMENT
he was full of anger,CONTAINMENT
he contained his anger,CONTAINMENT
held-in anger,CONTAINMENT
pent-up anger,CONTAINMENT
She was unable to contain her anger.,CONTAINMENT
Build up of anger,CONTAINMENT
