sentence,image_schema
"but it felt like someone you love being pulled away from you ever so slowly, agonizingly slowly, watching someone you love being tortured and then just having her gone, it was quite horrible. I mean what was in my soul, it’s probably the best description I can give you, it’s like a massive loss.",CENTER-PERIPHERY
It is close on midnight.,CENTER-PERIPHERY
To answer that question we need to go further back in time.,CENTER-PERIPHERY
He was close to tears.,CENTER-PERIPHERY
He became emotionally distant from his friends and family after the illness.,CENTER-PERIPHERY
He is one of the prime minister's closest advisers.,CENTER-PERIPHERY
People need be entertained to take their attention away from conflict.,CENTER-PERIPHERY
I can feel a headache approaching.,CENTER-PERIPHERY
My symptoms went away.,CENTER-PERIPHERY
House Democrats and Republicans moved closer to agreeing on a budget today.,CENTER-PERIPHERY
It is unclear how the new law applies to this situation.,CENTER-PERIPHERY
Canada is by far the closest of all our neighbors.,CENTER-PERIPHERY
Let’s hope he can keep the team on the road to success.,SOURCE_PATH_GOAL
She went from fat to thin through an intensive exercise program.,SOURCE_PATH_GOAL
Do it this way.,SOURCE_PATH_GOAL
She did it the other way.,SOURCE_PATH_GOAL
Do it any way you can.,SOURCE_PATH_GOAL
However you want to go about it is fine with me.,SOURCE_PATH_GOAL
"If this doesn’t work, I’ll try a different route.",SOURCE_PATH_GOAL
…sei nichts anderes als ein Schleichweg an die Macht…,SOURCE_PATH_GOAL
…es gibt tatsächlich Anzeichen für einen asiatischen Sonderweg.,SOURCE_PATH_GOAL
Das Gemauschel in der Grauzone sei einfach der falsche Weg.,SOURCE_PATH_GOAL
Jetzt hat die moderne Traumforschung einen Weg gefunden…,SOURCE_PATH_GOAL
Ernst Tugendhats Denkweg führt durch die Denkgeschichte der Bundesrepublik.,SOURCE_PATH_GOAL
"Es gab in unserem Jahrhundert viele Wege, die von Heidegger weggeführt haben.",SOURCE_PATH_GOAL
…kann…ein „mittlerer Weg“ das Problem relativieren…,SOURCE_PATH_GOAL
Auf diesem Weg…,SOURCE_PATH_GOAL
"…dass es nur einen Weg gebe, die Lage…zu verbessern.",SOURCE_PATH_GOAL
…nach den dramatischen Irrwegen…,SOURCE_PATH_GOAL
…schufen sich die EG-Regierungen auf dem Umweg über Brüssel Dutzende weiterer Zusatzbudgets.,SOURCE_PATH_GOAL
…die fallenreichen Pfade alternativer Politik…,SOURCE_PATH_GOAL
Ein Weg aus der Hoffnungslosigkeit sei auch die Initiative…,SOURCE_PATH_GOAL
Nach dem Führungswechsel…scheint der Deutsche Judo-Bund…auf einem guten Weg…,SOURCE_PATH_GOAL
Welchen Weg hätte die Brandenburgische CDU genommen…,SOURCE_PATH_GOAL
„Das ist der falsche Weg…,SOURCE_PATH_GOAL
"To be cool, you have to wear your overalls this way.",SOURCE_PATH_GOAL
She solved the problem a different way.,SOURCE_PATH_GOAL
Do it any way you can.,SOURCE_PATH_GOAL
However you want to go about repairing it is fine with me.,SOURCE_PATH_GOAL
He went from fat to thin through an intensive exercise program.,SOURCE_PATH_GOAL
He eased into bathing daily through the help of his friends.,SOURCE_PATH_GOAL
Die SPD verfolgt eine Linie in Richtung große Koalition.,SOURCE_PATH_GOAL
Ein politischer Rückschlag…führt unweigerlich zu ökonomischen Verwerfungen…,SOURCE_PATH_GOAL
Mit einer kleinen Währungsunion auf Maastrich zugehen…,SOURCE_PATH_GOAL
"Auch wenn die Politiker in Rio zu kurz springen, sie stolpern doch endlich in die richtige Richtung.",SOURCE_PATH_GOAL
…sie [die Demokratie] braucht vor allem moralische Wegweiser.,SOURCE_PATH_GOAL
"…dass wir alle unzufrieden waren über die Richtung, die Demokraten wie Republikaner eingeschlagen hatten.",SOURCE_PATH_GOAL
…und der Richtung der Reformen…,SOURCE_PATH_GOAL
Der Weg fürht weg von der Heidegger-Begeisterung…,SOURCE_PATH_GOAL
…ist eine attraktive Forschungsrichtung.,SOURCE_PATH_GOAL
Ohne Kehrtwende…bleibe die Bundesrepublik…“außen vor“…,SOURCE_PATH_GOAL
…auch eine Neuorientierung in der Frage politischer Grundsätze…,SOURCE_PATH_GOAL
…ein Zeichen zur ökologischen Wende,SOURCE_PATH_GOAL
Wir haben unser Land schon wiederholt auf einen neuen Kurs gebracht.,SOURCE_PATH_GOAL
…eine gewisse Umorientierung in der SPD…,SOURCE_PATH_GOAL
"…forderte sie die Umkehr, eine Welt ohne Waffen…",SOURCE_PATH_GOAL
…um Jelzin den Kurswechsel nicht unnötig schwer zu machen…,SOURCE_PATH_GOAL
…daß er…einen Parteitag herumreißen könnte.,SOURCE_PATH_GOAL
He finally reached his goals.,SOURCE_PATH_GOAL
He’s headed for great things.,SOURCE_PATH_GOAL
It took him hours to reach a state of perfect concentration.,SOURCE_PATH_GOAL
"He’ll ultimately be successful, but he isn’t there yet.",SOURCE_PATH_GOAL
We’ve reached the end.,SOURCE_PATH_GOAL
We are seeing the light at the end of the tunnel.,SOURCE_PATH_GOAL
We only have a short way to go.,SOURCE_PATH_GOAL
We’re where we wanted to go.,SOURCE_PATH_GOAL
The goal is a long way off.,SOURCE_PATH_GOAL
The necessary retrofitting is now at an end.,SOURCE_PATH_GOAL
He is just floating around.,SOURCE_PATH_GOAL
She is drifting aimlessly.,SOURCE_PATH_GOAL
He needs some direction.,SOURCE_PATH_GOAL
…ein so anderes Ergebnis vorausgesagt hatten…,SOURCE_PATH_GOAL
…in Rückerinnerung an…,SOURCE_PATH_GOAL
…im Rückblick auf die zehn Jahre…,SOURCE_PATH_GOAL
Während der zurückliegenden vier Jahrzehnte,SOURCE_PATH_GOAL
…seine Gabe vorauszudenken…,SOURCE_PATH_GOAL
Andere sahen das Grünen-Paar kurz vor dem finanziellen Offenbarungseid…,SOURCE_PATH_GOAL
…dass man es für ein Individuum voraussagen könnte.,SOURCE_PATH_GOAL
Seine besseren Jahre liegen bis zur Unkenntlichkeit weit zurück.,SOURCE_PATH_GOAL
Leave the past behind you.,SOURCE_PATH_GOAL
As we travel down life’s path. . .,SOURCE_PATH_GOAL
"I don’t know where I’m headed, but I’m enjoying getting there.",SOURCE_PATH_GOAL
He just sails through life.,SOURCE_PATH_GOAL
He had a head start in life.,SOURCE_PATH_GOAL
…einen eindrucksvolleren Lebenslauf…,SOURCE_PATH_GOAL
Ein Sonderweg hat sich vollendet.,SOURCE_PATH_GOAL
"…ein so unerhörter Lebensweg, der bis an die Regierungsspitze führte…",SOURCE_PATH_GOAL
…endete sein Lebensweg.,SOURCE_PATH_GOAL
"Weggefährten eines Reiters, der…",SOURCE_PATH_GOAL
Dieser verschlungene und für ihn doch gerade Weg führte über Höhen und Tiefen. [zum Leben Willy Brands],SOURCE_PATH_GOAL
"„Ich denke nicht viel rückwärts“, sagt er. “Ich denke eher: wie viel habe ich noch vor mir.",SOURCE_PATH_GOAL
"…dass man denen, die…später leben werden, den Weg bahnen muß.",SOURCE_PATH_GOAL
She hasn't gone as far in life as her parents had hoped.,SOURCE_PATH_GOAL
His life has taken a good course.,SOURCE_PATH_GOAL
I go where my path leads me.,SOURCE_PATH_GOAL
"As I've traveled through life, I've made a lot of friends along the way.",SOURCE_PATH_GOAL
"He has changed his direction in life, and taken a more spiritual path. ",SOURCE_PATH_GOAL
It's time to take the next big step in my life.,SOURCE_PATH_GOAL
"He made it this far in life without a partner, he can survive without one going forward.",SOURCE_PATH_GOAL
He's over the hill.,SOURCE_PATH_GOAL
She's past her peak.,SOURCE_PATH_GOAL
Life is full of peaks and valleys.,SOURCE_PATH_GOAL
He started going down a bad life path.,SOURCE_PATH_GOAL
They are at a crossroads in their relationship.,SOURCE_PATH_GOAL
Look how far we’ve come.,SOURCE_PATH_GOAL
We’ll just have to go our separate ways.,SOURCE_PATH_GOAL
We can’t turn back now.,SOURCE_PATH_GOAL
I don’t think this relationship is going anywhere.,SOURCE_PATH_GOAL
Where are we?,SOURCE_PATH_GOAL
We’re stuck.,SOURCE_PATH_GOAL
"It’s been a long, bumpy road.",SOURCE_PATH_GOAL
This relationship is a dead-end street.,SOURCE_PATH_GOAL
We’re just spinning our wheels.,SOURCE_PATH_GOAL
Our marriage is on the rocks.,SOURCE_PATH_GOAL
We’ve gotten off the track.,SOURCE_PATH_GOAL
This relationship is foundering.,SOURCE_PATH_GOAL
We’re heading in different directions.,SOURCE_PATH_GOAL
The marriage is out of gas.,SOURCE_PATH_GOAL
We’re trying to keep the relationship afloat.,SOURCE_PATH_GOAL
We may have to bail out of this relationship.,SOURCE_PATH_GOAL
The new stadium is bogged down.,SOURCE_PATH_GOAL
